,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different,var,uA,uB,uC,uD
0,8.0,4.0,100.0,0.75,1.0,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,600.0,600.0,10.527917148838654,600.0,600.0,50.0,-39.472082851161346,0.0,0.0,0.0,100.0,550.0,850.0,550.0,850.0
1,8.0,0.0,0.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,1978.874553005282,0.0,229.81242550088032,900.0,0.0,50.0,179.81242550088032,1.0,1.0,0.0,100.0,0.0,400.0,760.0,1255.0
2,8.0,4.0,100.0,0.95,1.0,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,600.0,600.0,45.95821969465134,600.0,600.0,75.0,-29.04178030534866,0.0,0.0,0.0,100.0,790.0,1170.0,790.0,1170.0
3,8.0,4.0,0.0,0.75,0.25,35.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,511.03836103770743,255.51918051885372,85.17306017295124,900.0,450.0,150.0,-64.82693982704876,1.0,1.0,0.0,100.0,937.5,978.75,1275.0,1147.5
4,8.0,0.0,0.0,0.95,1.0,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,600.0,0.0,-22.367637553408784,600.0,0.0,75.0,-97.36763755340878,1.0,1.0,0.0,100.0,0.0,600.0,190.0,1170.0
5,5.0,0.0,0.0,0.95,0.25,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,354.940653378998,0.0,-5.349159098933882,656.25,0.0,75.0,-80.34915909893388,1.0,1.0,0.0,100.0,0.0,375.0,534.375,998.4375
6,5.0,4.0,0.0,0.95,0.25,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,821.6613285803516,957.3290628642812,119.10968762142707,562.5,750.0,50.0,69.10968762142707,0.0,0.0,0.0,100.0,685.0,962.5,756.25,784.375
7,5.0,4.0,0.0,0.95,1.0,35.0,25.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,125.0,200.0,238.76814324494117,125.0,200.0,150.0,88.76814324494117,0.0,0.0,0.0,100.0,790.0,641.0,718.75,541.25
8,8.0,0.0,100.0,0.75,1.0,35.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,280.0,0.0,83.5524352834992,280.0,0.0,50.0,33.55243528349919,1.0,1.0,0.0,100.0,0.0,400.0,150.0,610.0
9,8.0,0.0,0.0,0.75,1.0,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,600.0,0.0,-45.481697397939286,600.0,0.0,50.0,-95.48169739793929,1.0,1.0,0.0,100.0,0.0,400.0,150.0,850.0
10,8.0,4.0,0.0,0.95,0.25,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,530.4388337953761,565.2194168976881,-11.593527700770643,900.0,750.0,50.0,-61.59352770077064,0.0,1.0,1.0,100.0,685.0,1112.5,970.0,1255.0
11,5.0,0.0,100.0,0.95,0.25,35.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,280.1769039998203,0.0,28.047174399952084,643.75,0.0,125.0,-96.95282560004792,1.0,1.0,0.0,100.0,0.0,625.0,623.4375,1236.5625
