,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different,var,uA,uB,uC,uD
0,6.056017024438203,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,871.3407994048384,875.5207066880198,91.84023556267329,749.4321067742277,795.0,65.0,26.840235562673282,0.0,0.0,0.0,100.0,977.75,1148.8911065884831,1100.0452992703126,1105.6016080239995
1,6.754432822423656,4.0,20.0,0.95,0.25,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1275.3885705817745,855.2898098846641,218.42993662822138,1004.7218823355188,695.0,165.0,53.42993662822138,1.0,1.0,0.0,100.0,1320.25,1434.3989540181292,1614.485788218743,1522.2802973537314
2,5.697267825411139,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1571.3736925135322,1203.247198950234,334.4157329834113,1061.1161324828245,845.0,215.0,119.41573298341133,1.0,1.0,0.0,100.0,1662.75,1552.935799922281,1868.0603258586834,1527.9360149274498
3,4.725252177332281,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,943.2683939424171,898.4914739301427,232.83049131004756,880.0782180281373,845.0,215.0,17.830491310047567,1.0,1.0,0.0,100.0,1662.75,1441.1540003932123,1696.0743071267304,1267.253568308301
4,5.859132381047528,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1152.7322292915824,1086.9644543416105,162.32148478053682,505.3501678653493,645.0,15.0,147.32148478053682,1.0,0.0,1.0,100.0,292.75,700.636985715713,261.77387137232427,567.9696451877948
5,5.586767007682006,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,-78.65994163975468,243.6812442462022,-118.77291858459927,586.6105358066106,720.0,40.0,-158.77291858459927,0.0,0.0,0.0,100.0,635.25,907.4706803072802,651.4228634757205,780.7506893235604
6,8.055502475881237,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1637.0872025314948,912.9038293678407,237.6346097892802,1500.3373361328804,845.0,215.0,22.634609789280216,1.0,1.0,0.0,100.0,1662.75,1824.1327847263424,2285.3204693262364,2160.385070250399
7,5.481538986028967,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1021.8363043686278,1045.6565077603393,148.55216925344644,575.5615935330416,720.0,40.0,108.55216925344642,0.0,0.0,0.0,100.0,635.25,903.2615594411586,644.0503252086546,766.0450732975482
8,4.805962174133087,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,-5.520311232517877,295.4054476231797,-101.5315174589401,504.6260282839741,720.0,40.0,-141.5315174589401,0.0,0.0,0.0,100.0,635.25,876.2384869653234,596.7177248251994,671.6332138350989
9,5.110684325670999,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,-9.552027574284415,292.5238758916848,-102.49204136943841,440.79652308912364,645.0,15.0,-117.49204136943841,0.0,0.0,0.0,100.0,292.75,689.410264885065,235.999191465295,495.4169618197324
